d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
video,verification,high-risk,adequacy,start,suboptimal,"[0.064, 0.834, 0.921, 0.833]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,-82,Reject,c
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.18, 0.882, 0.784, 0.931]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.109, 0.737, 0.943, 0.928]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,8,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-94,Reject,d
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.145, 0.967, 0.728, 0.74]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,none,false,adequacy,start,insufficient,"[0.067, 0.736, 0.969, 0.807]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M1 -> M1 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,8,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,36,Reject,d
unstructured_text,verification,high-risk,EU_only,start,suboptimal,"[0.044, 0.866, 0.801, 0.804]",M2,"['0.049', '0.126', '0.801', '0.024']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,categorisation,false,adequacy,start,suboptimal,"[0.146, 0.871, 0.919, 0.969]",M4,"['0.017', '0.037', '0.031', '0.915']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
unstructured_text,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.137, 0.813, 0.958, 0.955]",M3,"['0.020', '0.084', '0.885', '0.011']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.193, 0.828, 0.741, 0.78]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,categorisation,false,adequacy,start,insufficient,"[0.027, 0.813, 0.771, 0.938]",M4,"['0.004', '0.006', '0.007', '0.983']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.176, 0.913, 0.852, 0.832]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
video,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.089, 0.754, 0.732, 0.91]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
structured,categorisation,false,non_compliant,start,insufficient,"[0.07, 0.726, 0.862, 0.98]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,none,false,non_compliant,start,insufficient,"[0.112, 0.741, 0.774, 0.805]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.141, 0.817, 0.719, 0.929]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.141, 0.986, 0.727, 0.754]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,verification,high-risk,EU_only,start,insufficient,"[0.171, 0.779, 0.836, 0.782]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
image,remote_id,high-risk,adequacy,start,insufficient,"[0.163, 0.716, 0.834, 0.953]",M2,"['0.004', '0.007', '0.976', '0.013']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
video,remote_id,high-risk,non_compliant,start,insufficient,"[0.164, 0.759, 0.714, 0.935]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M4 -> Reject_M4_a,4,Reject_M4_a,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,a
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.06, 0.956, 0.987, 0.738]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.089, 0.883, 0.745, 0.837]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.079, 0.881, 0.783, 0.884]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M2 -> M2 -> M2 -> M3 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,12,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,28,Reject,d
structured,none,false,non_compliant,start,suboptimal,"[0.118, 0.831, 0.863, 0.876]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
multimodal,categorisation,false,inadequate_SCC,start,insufficient,"[0.164, 0.922, 0.857, 0.723]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.168, 0.726, 0.744, 0.957]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.059, 0.769, 0.833, 0.945]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.1, 0.746, 0.918, 0.751]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,verification,high-risk,adequacy,start,insufficient,"[0.017, 0.786, 0.89, 0.81]",M2,"['0.029', '0.113', '0.793', '0.065']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
video,verification,high-risk,EU_only,start,suboptimal,"[0.04, 0.843, 0.816, 0.915]",M2,"['0.017', '0.059', '0.916', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.188, 0.726, 0.95, 0.744]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.082, 0.729, 0.901, 0.814]",M2,"['0.001', '0.002', '0.990', '0.006']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.087, 0.946, 0.763, 0.756]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,none,false,EU_only,start,suboptimal,"[0.057, 0.882, 0.845, 0.868]",M2,"['0.201', '0.271', '0.447', '0.082']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.062, 0.951, 0.958, 0.786]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M3 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.176, 0.948, 0.804, 0.941]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.155, 0.946, 0.813, 0.879]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,remote_id,high-risk,adequacy,start,insufficient,"[0.106, 0.965, 0.839, 0.742]",M2,"['0.004', '0.007', '0.976', '0.013']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,verification,high-risk,adequacy,start,insufficient,"[0.148, 0.772, 0.902, 0.96]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.094, 0.866, 0.98, 0.734]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.127, 0.751, 0.91, 0.794]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,verification,high-risk,non_compliant,start,insufficient,"[0.161, 0.91, 0.884, 0.813]",M3,"['0.006', '0.020', '0.953', '0.021']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,verification,high-risk,adequacy,start,insufficient,"[0.193, 0.853, 0.738, 0.899]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
video,verification,high-risk,non_compliant,start,insufficient,"[0.055, 0.709, 0.985, 0.72]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> M2 -> M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
video,categorisation,false,inadequate_SCC,start,insufficient,"[0.171, 0.877, 0.949, 0.893]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
structured,none,false,EU_only,start,insufficient,"[0.153, 0.833, 0.705, 0.931]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M1 -> M1 -> M2 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
video,verification,high-risk,adequacy,start,insufficient,"[0.169, 0.777, 0.787, 0.764]",M2,"['0.014', '0.043', '0.910', '0.034']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
multimodal,categorisation,false,EU_only,start,insufficient,"[0.138, 0.849, 0.932, 0.78]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.072, 0.868, 0.932, 0.892]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
unstructured_text,none,false,non_compliant,start,insufficient,"[0.102, 0.859, 0.701, 0.789]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.197, 0.967, 0.86, 0.822]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-82,Reject,d
image,categorisation,false,adequacy,start,insufficient,"[0.03, 0.756, 0.892, 0.881]",M4,"['0.004', '0.006', '0.007', '0.983']",start,a_reject,M4 -> Reject_M4_b,1,Reject_M4_b,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,b
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.121, 0.744, 0.791, 0.917]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.169, 0.765, 0.793, 0.858]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.057, 0.928, 0.723, 0.949]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.119, 0.825, 0.777, 0.733]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.119, 0.917, 0.962, 0.813]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.129, 0.979, 0.765, 0.7]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
structured,none,false,adequacy,start,insufficient,"[0.186, 0.716, 0.715, 0.741]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_eval -> a_eval -> a_eval -> a_accept,M1 -> M1 -> M1 -> M1 -> Accept_M1_a,4,Accept_M1_a,"['0.250', '0.250', '0.250', '0.250']",final,44,Accept,a
structured,none,false,non_compliant,start,insufficient,"[0.147, 0.933, 0.958, 0.764]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.18, 0.961, 0.748, 0.842]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.09, 0.988, 0.924, 0.882]",M3,"['0.015', '0.102', '0.876', '0.008']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.047, 0.779, 0.71, 0.84]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,verification,high-risk,EU_only,start,insufficient,"[0.18, 0.987, 0.846, 0.75]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.053, 0.77, 0.705, 0.788]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
image,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.114, 0.949, 0.859, 0.82]",M3,"['0.002', '0.006', '0.991', '0.001']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.066, 0.744, 0.733, 0.781]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.119, 0.903, 0.793, 0.914]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.026, 0.741, 0.781, 0.754]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.195, 0.868, 0.852, 0.911]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M4 -> M2 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
image,categorisation,false,EU_only,start,suboptimal,"[0.102, 0.934, 0.914, 0.824]",M4,"['0.017', '0.028', '0.025', '0.930']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
structured,verification,high-risk,non_compliant,start,suboptimal,"[0.135, 0.922, 0.892, 0.927]",M3,"['0.008', '0.025', '0.961', '0.006']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
structured,verification,high-risk,EU_only,start,insufficient,"[0.071, 0.945, 0.84, 0.754]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,adequacy,start,insufficient,"[0.083, 0.771, 0.727, 0.704]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,8,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,36,Reject,d
unstructured_text,remote_id,high-risk,non_compliant,start,suboptimal,"[0.049, 0.824, 0.866, 0.958]",M3,"['0.001', '0.001', '0.997', '0.001']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,categorisation,false,EU_only,start,insufficient,"[0.05, 0.845, 0.714, 0.715]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.185, 0.737, 0.935, 0.718]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
structured,categorisation,false,EU_only,start,suboptimal,"[0.056, 0.929, 0.907, 0.922]",M4,"['0.017', '0.017', '0.019', '0.946']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.041, 0.728, 0.943, 0.735]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,none,false,adequacy,start,insufficient,"[0.112, 0.745, 0.906, 0.753]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.077, 0.804, 0.865, 0.703]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-82,Reject,d
image,remote_id,high-risk,EU_only,start,suboptimal,"[0.043, 0.83, 0.983, 0.94]",M2,"['0.004', '0.009', '0.983', '0.004']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.04, 0.938, 0.749, 0.721]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,suboptimal,"[0.044, 0.906, 0.9, 0.984]",M2,"['0.006', '0.008', '0.981', '0.005']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.143, 0.908, 0.709, 0.896]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
image,none,false,non_compliant,start,suboptimal,"[0.07, 0.806, 0.848, 0.956]",M3,"['0.097', '0.195', '0.649', '0.059']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
